Degree,Count
1,8
2,16
3,45
4,128
5,409
6,951
7,2097
8,3329
9,4362
10,4274
11,3265
12,2609
13,2219
14,1847
15,1556
16,1222
17,1087
18,973
19,812
20,695
21,679
22,561
23,471
24,471
25,423
26,375
27,343
28,289
29,281
30,283
31,231
32,208
33,207
34,183
35,177
36,166
37,158
38,143
39,163
40,109
41,114
42,105
43,104
44,95
45,104
46,98
47,90
48,74
49,68
50,76
51,65
52,54
53,71
54,52
55,53
56,57
57,58
58,47
59,39
60,49
61,47
62,44
63,49
64,35
65,48
66,37
67,41
68,33
69,31
70,27
71,37
72,24
73,21
74,21
75,29
76,30
77,32
78,21
79,15
80,19
81,21
82,26
83,18
84,16
85,15
86,22
87,19
88,22
89,20
90,18
91,15
92,14
93,12
94,14
95,8
96,8
97,13
98,18
99,15
100,11
101,15
102,11
103,9
104,12
105,15
106,8
107,14
108,8
109,12
110,6
111,8
112,7
113,4
114,7
115,7
116,14
117,8
118,12
119,11
120,9
121,8
122,7
123,4
124,7
125,5
126,6
127,7
128,2
129,10
130,3
131,5
132,10
133,6
134,8
135,4
136,7
137,2
138,5
139,5
140,8
141,4
142,6
143,5
144,2
145,5
146,6
147,3
148,6
149,1
150,4
151,8
152,3
153,8
154,7
155,6
156,6
157,4
158,6
159,6
160,10
161,2
162,3
163,8
164,2
165,4
166,3
167,3
168,4
169,1
170,2
171,1
172,4
173,4
174,2
175,5
176,4
177,3
178,2
179,1
180,2
181,1
182,4
183,3
184,3
185,3
186,2
187,3
189,3
190,2
193,1
194,2
195,4
196,3
197,5
198,4
199,3
200,1
201,1
202,4
203,4
204,2
206,1
207,4
208,2
209,2
211,4
213,1
215,1
216,1
217,2
218,1
219,3
220,2
221,2
222,1
223,2
224,1
225,2
229,2
230,1
231,1
232,3
233,2
234,2
236,2
237,2
238,2
240,1
243,4
244,1
246,1
247,2
250,1
253,1
254,3
259,1
261,2
263,1
264,1
268,1
271,2
272,1
273,1
274,5
275,1
276,1
279,1
280,4
281,2
283,1
285,1
287,2
288,2
291,1
292,1
296,1
297,1
298,1
299,1
304,1
305,1
306,1
308,1
310,1
316,1
317,1
319,1
321,1
323,1
330,3
331,1
339,2
343,1
345,1
347,1
348,2
349,1
350,1
351,1
355,1
360,1
361,1
367,1
377,1
382,1
383,2
387,1
398,1
399,1
400,1
407,2
412,1
413,1
427,1
429,1
431,2
432,1
436,1
447,1
454,1
468,1
471,1
481,1
484,1
492,1
496,1
504,1
523,1
543,1
549,1
558,1
565,1
583,1
609,1
637,1
639,1
643,1
711,1
732,1
829,1
841,1
856,1
894,1
978,1
1031,1
1059,1
1190,1
1321,1
1329,1
1415,1
