Degree,Count
8,4111
9,1677
10,1580
11,1451
12,2518
13,1048
14,973
15,884
16,1503
17,689
18,616
19,561
20,1043
21,488
22,454
23,442
24,735
25,334
26,355
27,317
28,594
29,298
30,247
31,261
32,434
33,213
34,190
35,175
36,338
37,172
38,157
39,158
40,289
41,140
42,131
43,103
44,248
45,116
46,106
47,98
48,193
49,85
50,101
51,66
52,155
53,91
54,60
55,78
56,121
57,53
58,54
59,47
60,104
61,54
62,56
63,48
64,84
65,40
66,36
67,59
68,72
69,32
70,34
71,29
72,75
73,29
74,27
75,39
76,66
77,31
78,30
79,21
80,45
81,20
82,36
83,27
84,35
85,17
86,23
87,28
88,41
89,21
90,31
91,13
92,48
93,14
94,11
95,18
96,23
97,14
98,17
99,10
100,24
101,14
102,8
103,13
104,21
105,21
106,16
107,14
108,32
109,7
110,14
111,16
112,22
113,15
114,13
115,12
116,23
117,6
118,6
119,9
120,21
121,13
122,8
123,11
124,16
125,9
126,10
127,10
128,8
129,6
130,10
131,9
132,15
133,6
134,6
135,7
136,13
137,10
138,4
139,13
140,19
141,10
142,6
143,3
144,14
145,3
146,6
147,5
148,8
149,6
150,8
151,4
152,9
153,3
154,6
155,2
156,8
157,8
158,2
159,5
160,10
161,8
162,5
163,2
164,10
165,4
166,9
167,3
168,10
169,3
170,7
171,1
172,5
173,1
174,2
175,4
176,7
177,1
178,1
179,4
180,5
181,2
183,5
184,3
185,5
186,4
187,2
188,2
189,3
190,2
191,1
192,2
193,2
194,1
195,2
196,3
197,5
198,3
199,3
200,9
201,2
202,3
203,1
204,5
205,1
206,4
207,4
208,2
209,1
210,3
211,1
212,4
213,2
216,2
217,3
218,1
219,1
220,3
223,2
224,2
225,4
226,3
228,4
229,2
230,1
232,3
233,2
234,1
235,1
236,4
237,1
238,3
239,3
240,2
241,2
242,1
244,2
245,5
246,1
247,3
248,1
250,2
251,1
252,3
253,3
254,5
255,2
256,1
257,1
259,1
260,1
261,1
262,1
263,1
264,2
266,2
267,1
268,1
269,1
270,1
271,1
273,3
274,1
275,1
276,1
279,1
280,2
281,1
282,1
284,1
285,1
288,1
296,1
297,1
300,1
302,2
303,1
305,1
306,2
307,1
308,1
310,1
311,2
312,3
316,2
321,2
325,2
329,1
330,1
331,2
332,2
333,1
334,1
338,1
339,2
343,2
348,1
349,1
355,1
357,1
360,2
362,2
363,1
364,1
366,1
370,1
379,2
380,1
381,1
388,2
393,1
394,1
395,1
396,1
397,1
399,2
400,1
404,1
408,1
413,1
417,2
421,1
424,1
433,1
435,1
436,1
437,1
444,1
446,1
460,1
461,1
469,1
472,1
481,1
493,1
508,1
512,1
513,1
517,1
518,1
524,1
536,1
538,1
541,1
544,1
549,1
561,1
582,1
628,1
631,1
647,1
658,1
664,1
811,1
